iter	Passed	Remaining
0	0	52
1	1	52
2	1	51
3	2	48
4	2	46
5	3	48
6	3	47
7	4	47
8	4	46
9	5	46
10	5	45
11	6	45
12	6	44
13	7	44
14	7	43
15	8	42
16	8	43
17	9	44
18	10	44
19	11	45
20	11	44
21	12	44
22	13	44
23	13	43
24	14	43
25	15	43
26	15	42
27	16	42
28	16	41
29	17	40
30	17	39
31	18	39
32	18	38
33	19	37
34	20	37
35	20	36
36	21	36
37	22	35
38	22	35
39	23	34
40	23	34
41	23	32
42	24	32
43	25	32
44	26	31
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	30	28
51	30	28
52	31	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	36	23
61	37	22
62	37	22
63	38	21
64	39	21
65	39	20
66	40	19
67	40	19
68	41	18
69	42	18
70	43	17
71	44	17
72	44	16
73	45	16
74	46	15
75	46	14
76	47	14
77	48	13
78	49	13
79	50	12
80	50	11
81	51	11
82	52	10
83	52	10
84	53	9
85	54	8
86	54	8
87	56	7
88	56	7
89	57	6
90	58	5
91	58	5
92	59	4
93	60	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
