iter	Passed	Remaining
0	54	54840
1	55	27592
2	55	18531
3	56	13984
4	56	11255
5	56	9432
6	57	8133
7	57	7158
8	58	6399
9	58	5792
10	58	5296
11	59	4883
12	59	4531
13	60	4228
14	60	3969
15	60	3742
16	61	3541
17	61	3361
18	62	3202
19	62	3058
20	62	2927
21	63	2809
22	63	2700
23	63	2599
24	64	2509
25	64	2424
26	65	2345
27	65	2272
28	65	2204
29	66	2141
30	66	2082
31	67	2026
32	67	1975
33	67	1929
34	68	1883
35	68	1839
36	69	1798
37	69	1759
38	69	1723
39	70	1687
40	70	1653
41	71	1620
42	71	1589
43	71	1560
44	72	1533
45	72	1506
46	73	1480
47	73	1455
48	73	1432
49	74	1409
50	74	1387
51	74	1366
52	75	1345
53	75	1326
54	76	1307
55	76	1288
56	76	1270
57	77	1253
58	77	1236
59	77	1220
60	78	1205
61	78	1190
62	79	1176
63	79	1161
64	79	1148
65	80	1135
66	80	1122
67	80	1109
68	81	1097
69	81	1085
70	82	1073
71	82	1062
72	82	1052
73	83	1041
74	83	1031
75	84	1022
76	84	1013
77	84	1004
78	85	995
79	85	985
80	86	976
81	86	967
82	86	956
83	86	947
84	87	939
85	87	932
86	88	924
87	88	916
88	88	909
89	89	902
90	89	894
91	89	887
92	90	880
93	90	874
94	91	867
95	91	861
96	91	854
97	92	848
98	92	842
99	92	836
100	93	830
101	93	824
102	94	818
103	94	813
104	94	807
105	95	802
106	95	797
107	95	792
108	96	787
109	96	781
110	97	777
111	97	773
112	98	769
113	98	765
114	98	761
115	99	756
116	99	751
117	99	747
118	100	742
119	100	738
120	101	734
121	101	728
122	101	724
123	102	720
124	102	717
125	102	714
126	103	709
127	103	705
128	104	702
129	104	698
130	104	694
131	105	691
132	105	687
133	105	683
134	106	680
135	106	677
136	107	674
137	107	671
138	107	668
139	108	664
140	108	661
141	108	657
142	109	654
143	109	651
144	109	648
145	110	645
146	110	642
147	110	638
148	111	636
149	111	633
150	112	630
151	112	627
152	112	625
153	113	623
154	113	620
155	114	617
156	114	615
157	115	613
158	115	611
159	115	608
